Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
QAMI11;Híbrido;83.9;0.2922;0.1673;0.9;67237300;27189;0;0;0;0;0
RBCO11;Lajes Corporativas;44;0.1233;0.0839;0.49;166276000;144616;4;3812.31;614.84;0.1613;0
RBDS11;Residencial;2.76;-0.8511;0;0.14;349203;211;0;0;0;0;0
RBED11;Outros;125;0.1082;0.1096;0.89;267380000;155802;7;3609.67;341.65;0.0946;0
RBFF11;Títulos e Val. Mob.;53.24;0.1168;0.1092;0.79;199608000;274487;0;0;0;0;0
RBHG11;Títulos e Val. Mob.;86.29;0.1101;0.1653;0.93;149073000;290955;0;0;0;0;0
RBHY11;Títulos e Val. Mob.;94.79;0.116;0.1763;0.99;179485000;411997;0;0;0;0;0
RBIR11;Residencial;64.9;-0.0255;0.0037;0.68;99207100;50290;0;0;0;0;0
RBLG11;Logística;98.5;0.1113;0.099;0.97;63059600;2519;2;174.58;15.15;0.0868;0.5
RBOP11;Híbrido;655;0.1819;0.015;0.58;66589900;57115;2;3638.53;726.82;0.1998;0.0434
RBRD11;Híbrido;37.1;0.1056;0.1143;0.54;68701300;35651;4;2486.15;325.73;0.131;0.2796
RBRF11;Títulos e Val. Mob.;69.28;0.1032;0.1055;0.8;947804000;2829690;0;0;0;0;0
RBRI11;Híbrido;999.89;0.072;0;0.81;120452000;6826;0;0;0;0;0
RBRL11;Logística;83;0.0831;0.0964;0.77;555024000;545410;6;1685.43;174.94;0.1038;0
RBRP11;Outros;52.75;0.102;0.0994;0.63;642452000;1426220;10;8995.7;1033.37;0.1149;0
RBRR11;Títulos e Val. Mob.;88.9;0.1196;0.1391;0.92;1194720000;4976740;0;0;0;0;0
RBRS11;Híbrido;60.4;0.0761;0.0866;0.67;104752000;37233;3;9408.58;731.88;0.0778;0.1535
RBRX11;Títulos e Val. Mob.;91.5;0.0734;0.0463;0.97;172083000;459196;0;0;0;0;0
RBRY11;Títulos e Val. Mob.;96.96;0.0963;0.1478;0.97;537818000;1121870;0;0;0;0;0
RBVA11;Outros;91.8;0.1003;0.1259;0.89;1063800000;956031;79;7357.9;943.75;0.1283;0
RBVO11;;11;0.0449;0.1896;0.63;5674060;4347;0;0;0;0;0
RCFF11;Títulos e Val. Mob.;98.99;0.029;0.0256;1.06;31993600;21807;0;0;0;0;0
RCRB11;Lajes Corporativas;127.53;0.0279;0.0636;0.65;470674000;610526;9;11326.9;874.51;0.0772;0.2597
RDPD11;Títulos e Val. Mob.;33;0.4072;0.5855;0.61;35575400;52561;0;0;0;0;0
RECR11;Títulos e Val. Mob.;86.6;0.1538;0.1535;0.91;2289850000;6034150;0;0;0;0;0
RECT11;Híbrido;55.91;0.0985;0.1092;0.59;477667000;654135;9;6058.6;635.72;0.1049;0.109
RECX11;Títulos e Val. Mob.;72.88;0.1365;0.1375;0.89;15910700;16348;0;0;0;0;0
REIT11;Títulos e Val. Mob.;468.49;0.0037;0.1766;0.96;12317100;11;0;0;0;0;0
RELG11;Híbrido;74.47;0.1298;0.1251;0.63;99384800;277016;5;1421.73;176.92;0.1244;0.1349
RFOF11;Títulos e Val. Mob.;72.82;0.0723;0.1097;0.85;78511900;207955;0;0;0;0;0
RMAI11;Híbrido;45;-0.0197;0.08;0.42;109971000;20874;2;2523.04;136.59;0.0541;0.3825
RNDP11;Títulos e Val. Mob.;153.21;0.0579;0.7842;0.48;16467200;12421;0;0;0;0;0
